Idx	CourseName	InstructorName	StudentNumber	CourseQuality	InstructorQuality	Difficulty
98	CIS-530-001	 ANI NENKOVA	47	2.27	2.47	2.14
99	CIS-530-001	 ANI NENKOVA	65	2.29	2.1	2.27
100	CIS-530-001	 ANI NENKOVA	73	1.53	2.39	1.4
101	LING-525-401	 MARK Y. LIBERMAN	14	2.82	2.75	3
102	CIS-500-001	 BENJAMIN C. PIERCE	75	3	3.25	3.44
103	CIS-500-001	 BENJAMIN C. PIERCE	97	2.67	3.21	3.14
104	CIS-500-001	 STEPHANIE WEIRICH	64	2.47	3.06	2.57
105	CIS-500-001	 BENJAMIN C. PIERCE	7	2.83	3.17	3.83
106	CIS-500-002	 BENJAMIN C. PIERCE	22	3.24	3.1	3.67
107	CIS-500-001	 STEPHANIE WEIRICH	32	2.64	3	2.5
108	CIS-500-001	 BENJAMIN C. PIERCE	16	2.75	2.75	3.58
109	CIS-500-002	 BENJAMIN C. PIERCE	30	2.9	3.4	3.7
110	CIS-500-001	 BENJAMIN C. PIERCE	8	3.63	3.25	3.75
111	CIS-500-002	 BENJAMIN C. PIERCE	24	2.26	3.55	2.91
112	CIS-500-001	 BENJAMIN C. PIERCE	11	2.91	2.8	3.27
113	CIS-500-002	 BENJAMIN C. PIERCE	20	2.82	3.4	3.06
114	CIS-500-001	 BENJAMIN C. PIERCE	8	2.75	3.57	3.63
115	CIS-500-002	 BENJAMIN C. PIERCE	19	2.64	2.86	3.36
116	CIS-500-001	 BENJAMIN C. PIERCE	23	3.18	3.15	3.5
117	CIS-500-001	 BENJAMIN C. PIERCE	32	3.18	3.33	3.5
118	CIS-500-001	 STEPHAN A. ZDANCEWIC	26	3.41	2.84	3.76
119	CIS-500-001	 STEPHANIE WEIRICH	41	2.76	3.05	3
120	CIS-501-001	 AMIR ROTH	60	3.16	3.18	3.24
121	CIS-501-001	 AMIR ROTH	94	3.05	3.12	3.32
122	CIS-501-001	 AMIR ROTH	57	2.86	3.28	3.23
123	CIS-501-001	 AMIR ROTH	13	1.83	3.33	2.67
124	CIS-501-002	 AMIR ROTH	22	2.4	3.55	2.55
125	CIS-501-001	 MILO M. K. MARTIN	30	3	3.26	3.07
126	CIS-501-001	 AMIR ROTH	15	2.75	2.5	2.33
127	CIS-501-002	 AMIR ROTH	32	2.76	3.43	2.9
128	CIS-501-001	 MILO M. K. MARTIN	13	2.88	2.14	2.88
129	CIS-501-002	 MILO M. K. MARTIN	24	2.36	3.15	2.23
130	CIS-501-001	 MILO M. K. MARTIN	13	3.17	2	3.67
131	CIS-501-002	 MILO M. K. MARTIN	33	3.04	3.04	3.04
132	CIS-501-001	 MILO M. K. MARTIN	15	2.8	2.5	3.1
133	CIS-501-002	 MILO M. K. MARTIN	63	2.93	3.13	3.11
134	CIS-501-001	 MILO M. K. MARTIN	82	3.36	2.89	3.53
