Idx	CourseName	InstructorName	StudentNumber	CourseQuality	InstructorQuality	Difficulty
376	CIS-350-001	 CHRISTIAN MURPHY	78	3.3	2.02	3.7
377	CIS-350-001	 CHRISTIAN MURPHY	131	2.75	1.81	3.32
378	CIS-380-001	 MATTHEW BLAZE	52	3.17	2.9	3.37
379	CIS-380-001	 MATTHEW BLAZE	41	2.8	3.09	3.11
380	CIS-380-001	 MATTHEW BLAZE	41	3.16	2.63	3.66
381	CIS-380-001	 MATTHEW BLAZE	39	2.6	3.29	2.86
382	CIS-380-001	 BOON THAU LOO	51	2.89	3.57	3.13
383	CIS-380-001	 BOON THAU LOO	66	2.95	3.75	2.71
384	CIS-380-001	 BOON THAU LOO	89	2.67	3.6	2.48
385	CIS-380-001	 MATTHEW BLAZE	128	2.03	3.21	2.16
386	CIS-390-401	 JIANBO SHI	43	2.69	2.69	2.75
387	CIS-390-401	 JONATHAN FIENE	43	2.86	2.53	3.11
388	CIS-390-401	 JIANBO SHI	47	3.05	3.03	2.71
389	CIS-390-401	 JONATHAN FIENE	47	3.05	3.03	3.71
390	CIS-390-401	 JIANBO SHI	57	2.73	2.61	2.12
391	CIS-390-401	 JONATHAN FIENE	57	2.74	2.66	3.38
392	CIS-391-001	 MITCHELL PHILIP MARCUS	31	2.93	2.2	2.87
393	CIS-391-001	 MITCHELL PHILIP MARCUS	20	3.07	2.64	3.14
394	CIS-391-001	 MITCHELL PHILIP MARCUS	41	2.89	2.42	3.06
395	CIS-391-001	 LYLE H UNGAR	19	2.67	3	3.22
396	CIS-391-001	 LYLE H UNGAR	30	2.23	3.06	2.68
397	CIS-391-001	 MITCHELL PHILIP MARCUS	37	2.74	2.42	3.13
398	CIS-391-001	 MITCHELL PHILIP MARCUS	71	2.44	2.49	2.57
399	CIS-391-001	 MITCHELL PHILIP MARCUS	68	2.34	2.79	2.08
400	CIS-400-001	 INSUP LEE	44	2.33	2.85	2.52
401	CIS-400-001	 INSUP LEE	36	2.69	2.56	2.88
402	CIS-400-001	 INSUP LEE	28	2.22	2.93	2.04
403	CIS-400-001	 INSUP LEE	33	2.13	2.52	2.37
404	CIS-400-001	 INSUP LEE	62	2.06	2.3	2.27
405	CIS-400-001	 INSUP LEE	69	1.65	2.17	1.5
406	CIS-400-001	 INSUP LEE	83	1.13	1.73	1.17
407	CIS-462-401	 STEPHEN LANE	25	2.76	3.38	2.86
408	CIS-462-401	 STEPHEN LANE	20	3.06	3.53	3.18
409	CIS-462-401	 STEPHEN LANE	41	2.72	3.14	2.81
410	CIS-462-401	 STEPHEN LANE	40	3	3.23	3.23
411	CIS-462-401	 STEPHEN LANE	44	3.26	3.24	3.13
412	CIS-462-401	 STEPHEN LANE	41	2.81	3.41	2.86
413	CIS-462-401	 STEPHEN LANE	39	2.93	2.96	3.07
414	CIS-477-401	 ARAVIND K JOSHI	7	2	1.5	2.43
415	CIS-477-401	 ARAVIND K JOSHI	25	2.75	1.76	2.95
416	CIS-477-401	 ARAVIND K JOSHI	9	2.5	1.63	3
417	CIS-477-401	 ARAVIND K JOSHI	21	2.11	1.47	2.39
418	CIS-521-001	 BENJAMIN TASKAR	22	3.18	3.47	3
419	CIS-521-001	 LYLE H UNGAR	46	2.72	2.63	2.92
420	CIS-521-001	 LYLE H UNGAR	40	2.83	2.55	3.06
421	CIS-521-001	 LYLE H UNGAR	45	2.54	2.82	2.92
422	CIS-521-001	 MITCHELL PHILIP MARCUS	47	2.88	2.03	2.98
423	CIS-521-001	 MITCHELL PHILIP MARCUS	45	2.51	1.93	2.76
424	CIS-553-001	 BOON THAU LOO	34	2.84	2.44	2.84
425	CIS-553-401	 BOON THAU LOO	106	3.13	3.01	2.98
426	CIS-553-401	 BOON THAU LOO	96	3.12	2.96	3.2
427	CIS-553-001	 MATTHEW BLAZE	52	2.48	3.12	2.78
428	MEAM-105-001	 CAMILLO JOSE TAYLOR	32	2.22	2.65	2.43
429	MEAM-105-001	 GEORGE BIROS	32	2.14	2.64	2.32
430	MEAM-105-401	 CAMILLO JOSE TAYLOR	47	1.88	3.21	2.08
431	MEAM-105-401	 GEORGE BIROS	47	1.85	3.44	1.93
432	CIS-112-001	 MICHAEL J. KEARNS	146	2.6	1.94	2.98
433	CIS-112-001	 MICHAEL J. KEARNS	97	2.84	1.74	3.21
434	CIS-112-001	 MICHAEL J. KEARNS	147	2.37	2.19	2.8
435	CIS-125-401	 JONATHAN MICHAEL SMITH	31	2.69	1.83	2.7
436	CIS-125-401	 MATTHEW BLAZE	31	2.69	1.83	3.31
437	CIS-125-401	 JONATHAN MICHAEL SMITH	26	3.11	1.53	3.37
438	CIS-125-401	 MATTHEW BLAZE	26	3.22	1.61	3.61
439	CIS-125-401	 MATTHEW BLAZE	32	2.97	1.68	3.21
440	CIS-125-401	 CHRISTOPHER S YOO	32	2.97	1.68	3.14
441	CIS-125-401	 MATTHEW BLAZE	10	3.38	2.5	3.13
442	CIS-125-401	 JONATHAN MICHAEL SMITH	23	3.05	2	2.95
443	CIS-125-401	 MATTHEW BLAZE	23	3.05	2	3.36
444	CIS-125-401	 MATTHEW BLAZE	15	3	1.64	3.45
445	CIS-125-401	 JONATHAN MICHAEL SMITH	27	2.91	1.47	2.64
446	CIS-260-001	 ANI NENKOVA	58	1.81	2.8	1.81
447	CIS-260-910	 MAX MINTZ	21	3.42	3.11	3.79
448	CIS-260-001	 JEAN HENRI GALLIER	48	2	3.46	2.94
449	CIS-260-910	 MAX MINTZ	18	3.41	3.24	3.76
450	CIS-260-001	 SAMPATH K. KANNAN	102	3.1	3	3.67
451	CIS-277-001	 JAN ALLBECK	44	2.64	3.47	1.74
452	CIS-277-001	 NORMAN I BADLER	44	2.64	3.47	2.95
453	CIS-277-001	 NORMAN I BADLER	30	3.26	3.17	3.35
454	CIS-277-001	 NORMAN I BADLER	34	2.93	3.38	2.81
455	CIS-277-001	 CORY D. BOATRIGHT	34	2.93	3.38	2.63
456	CIS-277-001	 NORMAN I BADLER	36	2.81	3.28	2.69
457	CIS-277-001	 CHRISTOPHER E. CZYZEWICZ	36	2.81	3.28	3.47
458	CIS-277-001	 NORMAN I BADLER	62	2.32	3.64	2.14
459	CIS-277-001	 CORY D. BOATRIGHT	62	2.32	3.64	1.72
460	CIS-277-001	 NORMAN I BADLER	30	2.83	3.47	2.72
461	CIS-277-001	 CORY D. BOATRIGHT	30	2.83	3.47	2.32
462	CIS-277-001	 NORMAN I BADLER	40	2.61	3.67	2.46
463	CIS-277-001	 BENEDICT BROWN	40	2.61	3.67	2.43
464	CIS-320-001	 SANJEEV KHANNA	63	2.91	3.61	3.48
465	CIS-320-001	 SANJEEV KHANNA	76	2.81	3.58	3.35
466	CIS-320-001	 SANJEEV KHANNA	93	2.9	3.76	3.26
467	CIS-320-001	 SANJEEV KHANNA	98	3.09	3.68	3.43
468	CIS-320-001	 SANJEEV KHANNA	115	3.14	3.72	3.49
469	CIS-320-001	 RAJIV GANDHI	145	3.3	3.71	3.61
470	CIS-320-001	 SANJEEV KHANNA	184	2.82	3.64	3.17
471	CIS-371-001	 MILO M. K. MARTIN	40	2.94	2.91	3.18
472	CIS-371-001	 MILO M. K. MARTIN	47	2.89	2.94	3.14
473	CIS-371-001	 MILO M. K. MARTIN	57	2.67	3.49	3.04
474	CIS-371-001	 AMIR ROTH	45	3	3.51	3.21
475	CIS-371-001	 MILO M. K. MARTIN	59	2.87	3.41	3.47
476	CIS-371-001	 MILO M. K. MARTIN	79	3.06	3.19	3.42
477	CIS-371-001	 CAMILLO JOSE TAYLOR	101	2.39	3.53	2.85
478	CIS-372-101	 AMIR ROTH	38	2.85	3.47	3.24
479	CIS-398-001	 MAX MINTZ	6	3.83	3	3.83
480	CIS-398-001	 MAX MINTZ	7	3.86	2.71	4
481	CIS-398-001	 MAX MINTZ	14	3.21	2.69	3.5
482	CIS-398-001	 MAX MINTZ	13	3.08	3.2	3.62
483	CIS-398-001	 MAX MINTZ	5	3.75	3.67	4
484	CIS-398-001	 MAX MINTZ	10	2.7	2.33	3.3
485	CIS-398-001	 MAX MINTZ	11	3.36	2.67	3.36
486	CIS-401-001	 INSUP LEE	36	2.21	2.74	2.18
487	CIS-401-001	 CAMILLO JOSE TAYLOR	33	2.56	3.15	2.96
488	CIS-401-001	 INSUP LEE	27	1.45	3.05	1.74
489	CIS-401-001	 INSUP LEE	44	2.3	2.95	2.35
490	CIS-401-001	 INSUP LEE	33	2	2.24	2.18
491	CIS-401-001	 INSUP LEE	59	1.74	2.3	1.96
492	CIS-401-001	 INSUP LEE	68	1.4	2.24	1.45
493	CIS-455-401	 ZACHARY G. IVES	29	3.67	3.19	3.52
494	CIS-455-401	 ZACHARY G. IVES	11	3.36	3.64	3.55
495	CIS-455-401	 ANDREAS HAEBERLEN	51	3.14	3.48	3.17
496	CIS-455-401	 ZACHARY G. IVES	39	3.36	3.39	3.58
497	CIS-455-401	 ANDREAS HAEBERLEN	88	3.45	3.62	3.19
498	CIS-455-401	 ANDREAS HAEBERLEN	92	3.45	3.59	3.29
499	CIS-455-401	 ANDREAS HAEBERLEN	88	3.57	3.67	3.61
500	CIS-563-001	 ALLA SAFONOVA	30	2.69	3.79	2.38
501	CIS-563-001	 ALLA SAFONOVA	20	3.18	3.33	3
502	CIS-563-001	 JOSEPH THEODORE KIDER	35	3.24	3.19	3.41
503	CIS-563-001	 ALLA SAFONOVA	19	3.28	3.38	2.94
504	CIS-563-001	 JOSEPH THEODORE KIDER	40	3.17	2.93	3.31
505	CIS-563-001	 LADISLAV KAVAN	36	2.81	3.19	2.84
506	CIS-563-001	 LADISLAV KAVAN	39	2.06	2.72	2.32
507	CIS-106-401	 CLARK LOWDEN ERICKSON	11	2.11	2.38	3
508	CIS-106-401	 NORMAN I BADLER	11	2.11	2.38	2.33
509	CIS-106-401	 CLARK LOWDEN ERICKSON	21	1.94	2.13	2.17
510	CIS-106-401	 NORMAN I BADLER	21	1.94	2.13	2.5
511	CIS-160-001	 JEAN HENRI GALLIER	88	1.73	3.48	2.5
512	CIS-160-910	 MAX MINTZ	11	3.5	3.29	3.5
513	CIS-160-001	 ANI NENKOVA	62	1.9	2.84	1.85
514	CIS-160-001	 JEAN HENRI GALLIER	84	1.82	3.23	2.24
515	CIS-160-001	 MAX MINTZ	118	2.57	3.43	2.96
516	CIS-160-910	 MAX MINTZ	27	3.42	3.16	3.45
517	CIS-160-001	 ANI NENKOVA	49	1.45	2.78	1.02
518	CIS-160-001	 MAX MINTZ	111	2.51	3.17	2.98
519	CIS-160-910	 MAX MINTZ	15	3.25	3.4	3.67
520	CIS-160-001	 VAL BREAZU TANNEN	120	2.4	3.41	2.61
521	CIS-160-001	 MAX MINTZ	128	2.67	3.47	3.27
522	CIS-160-001	 SAMPATH K. KANNAN	168	2.07	3.5	2.51
523	CIS-160-001	 VAL BREAZU TANNEN	138	2.36	3.15	2.48
524	CIS-160-001	 RAJIV GANDHI	189	3.4	3.76	3.75
525	CIS-540-001	 RAJEEV S. ALUR	19	2.59	2.24	3.06
526	CIS-540-001	 RAJEEV S. ALUR	27	2.62	2.72	2.92
527	CIS-540-001	 RAJEEV S. ALUR	21	2.25	2.22	2.85
528	CIS-540-001	 RAJEEV S. ALUR	23	2.28	2.88	2.89
529	CIS-540-001	 RAJEEV S. ALUR	40	2.33	2.46	2.9
530	CIS-581-001	 JIANBO SHI	24	3.04	2.86	3.13
531	CIS-581-001	 JIANBO SHI	35	3.37	2.3	3.48
532	CIS-581-001	 JIANBO SHI	47	2.87	2.51	2.92
533	CIS-581-001	 JIANBO SHI	43	2.74	2.66	2.89
534	CIS-581-001	 JIANBO SHI	50	3.15	2.81	3.22
535	CIS-581-001	 JIANBO SHI	58	2.77	2.59	2.72
536	TCOM-512-001	 MICHAEL B. GREENWALD	23	2.09	3.48	2.57
537	TCOM-512-001	 FAROOQ ANJUM	19	2.54	2.62	2.38
538	TCOM-512-001	 FAROOQ ANJUM	26	1.48	2.84	1.76
539	TCOM-512-001	 THOMAS WOO	20	2.44	3	2.63
540	TCOM-512-001	 THOMAS WOO	20	2.16	2.95	2.11
541	TCOM-512-401	 BOON THAU LOO	69	2.66	2.97	2.53
542	TCOM-512-401	 BOON THAU LOO	72	3.15	2.82	3.1
543	TCOM-512-401	 BOON THAU LOO	81	3	3.04	2.99
544	CIS-341-001	 STEPHAN A. ZDANCEWIC	15	3.69	3.62	3.77
545	CIS-341-001	 STEPHAN A. ZDANCEWIC	24	3.41	3.24	3.59
546	CIS-341-001	 STEPHAN A. ZDANCEWIC	41	3.15	3.48	3.36
547	CIS-399-001	 JEAN GRIFFIN	34	2.8	1.83	3.13
548	CIS-399-001	 JIANBO SHI	8	3.75	2.5	3.75
549	CIS-399-002	 ANDREW D. HILTON	24	2.78	2.06	3.22
550	CIS-399-004	 RYAN M. GABBARD	33	3.14	1.91	3.36
551	CIS-399-005	 JEFFREY A. VAUGHAN	13	2.31	2	2.62
552	CIS-399-006	 JEFFREY NIMEROFF	26	2.14	2.27	2.45
553	CIS-399-002	 ZACHARY G. IVES	11	3.36	2.82	3.55
554	CIS-399-002	 ANDREAS HAEBERLEN	11	3.36	2.82	3.45
555	CIS-399-001	 AARON L ROTH	6	3.67	3	3.67
556	CIS-399-003	 BRENT A. YORGEY	16	3.77	3	3.92
557	CIS-399-001	 CHRIS CALLISON-BURCH	26	3.11	1.59	3.47
558	CIS-399-001	 SUDIPTO GUHA	6	2.75	2.33	3.5
559	CIS-399-002	 CHRISTIAN MURPHY	6	2.67	2.6	3.67
560	CIS-399-001	 CHRISTIAN MURPHY	7	3.43	2	4
561	CIS-430-001	 ANI NENKOVA	5	3.25	3	2.75
562	CIS-430-001	 ANI NENKOVA	3	3	3	3
563	CIS-430-001	 ANI NENKOVA	9	2.13	3	2.25
564	CIS-562-001	 STEPHEN LANE	30	3.27	3	3.18
565	PSYC-107-920	 THOMAS YAO-YU LEE	18	2.87	2.57	2.93
566	PSYC-107-920	 THOMAS YAO-YU LEE	21	2.79	2.21	3
567	CIS-552-001	 BENJAMIN C. PIERCE	25	3.43	3.13	3.87
568	CIS-552-001	 STEPHANIE WEIRICH	34	2.96	2.85	3.14
569	CIS-552-001	 STEPHANIE WEIRICH	43	3.26	3.09	3.24
570	CIS-552-001	 STEPHANIE WEIRICH	36	3.33	3.33	3.56
571	CIS-552-001	 BENJAMIN C. PIERCE	42	2.92	3.13	3.35
572	CIS-191-001	 SAMUEL PANZER	28	3	2.05	3.17
573	CIS-191-001	 PERRY E. METZGER	39	2.32	2.71	2.49
574	CIS-191-001	 BOON THAU LOO	91	3.44	1.44	3.42
575	CIS-191-001	 BOON THAU LOO	33	3.36	1.74	3.41
576	CIS-191-001	 BOON THAU LOO	39	2.86	2.16	2.79
577	CIS-191-001	 BOON THAU LOO	30	3.15	2.24	2.74
578	CIS-191-001	 SWAPNEEL SHETH	19	3.27	2.2	2.5
579	CIS-191-001	 SWAPNEEL SHETH	26	3.17	1.79	3.05
580	CIS-192-001	 CONSTANTINE E. LIGNOS	33	3	2.38	3.38
581	CIS-192-001	 ADAM J. AVIV	35	2.39	2.59	2.52
582	CIS-192-001	 CONSTANTINE E. LIGNOS	50	2.9	2.7	3.19
583	CIS-192-001	 BOON THAU LOO	36	2.76	2.11	3.04
584	CIS-192-001	 SWAPNEEL SHETH	28	2.71	1.86	2.57
585	CIS-192-001	 SWAPNEEL SHETH	28	2.41	1.64	2.56
586	CIS-193-001	 PETER-MICHAEL S. OSERA	18	3.19	2.27	3.38
587	CIS-193-001	 PETER-MICHAEL S. OSERA	14	3.07	2.15	3.29
588	CIS-497-001	 NORMAN I BADLER	13	3.23	3.42	3.17
589	CIS-497-001	 NORMAN I BADLER	12	3	4	3
590	CIS-497-001	 JOSEPH THEODORE KIDER	12	3	4	3.33
591	CIS-497-001	 NORMAN I BADLER	3	3.33	3	3.33
592	CIS-497-001	 NORMAN I BADLER	16	2.92	3.38	3
593	CIS-497-001	 NORMAN I BADLER	7	2.67	3	3.33
594	CIS-497-001	 NORMAN I BADLER	15	2.62	3.08	3
595	CIS-542-001	 CHRISTIAN MURPHY	32	2.55	2.26	2.87
596	CIS-542-920	 CHRISTIAN MURPHY	24	3.13	2.13	3.19
597	CIS-542-001	 CHRISTIAN MURPHY	82	3.03	2.14	3.36
598	CIS-542-910	 CHRISTIAN MURPHY	10	3.71	2.25	4
599	CIS-542-001	 MIROSLAV PAJIC	39	2.41	2.17	2.41
600	CIS-542-001	 ERNIE COHEN	38	1.78	2.49	2.51
601	CIS-542-001	 SHLOMO HERSHKOP	65	1.29	1.63	1.67
602	CIS-565-001	 PATRICK J COZZI	13	3.36	3.2	3.73
603	CIS-565-001	 JOSEPH THEODORE KIDER	10	3	2.8	3.2
604	CIS-565-001	 JOSEPH THEODORE KIDER	13	3.18	3.55	3.27
605	CIS-565-001	 PATRICK J COZZI	19	2.94	3.27	3.41
606	CIS-565-001	 PATRICK J COZZI	10	3.9	3.7	3.6
607	CIS-565-001	 PATRICK J COZZI	21	3.92	3.42	3.75
608	CIS-565-001	 PATRICK J COZZI	21	3.12	3.25	2.94
609	CIS-190-001	 PETER-MICHAEL S. OSERA	23	3.05	2.45	3.29
610	CIS-190-001	 ZACHARY ZARROW	36	2.93	2.57	3.17
611	CIS-190-001	 RICHARD A EISENBERG	19	2.82	2.07	3.18
612	CIS-190-001	 BOON THAU LOO	19	2.62	1.57	2.5
613	CIS-190-001	 SWAPNEEL SHETH	14	2.55	1.88	2.4
614	CIS-190-001	 SWAPNEEL SHETH	21	2.33	1.57	2.33
615	CIS-194-001	 BRENT A. YORGEY	12	3.67	2.45	3.83
616	CIS-194-001	 BRENT A. YORGEY	15	3.69	2.89	3.69
617	CIS-194-001	 BOON THAU LOO	27	3.63	2.9	3.65
618	CIS-194-001	 SWAPNEEL SHETH	14	2.82	2.8	2.91
619	CIS-441-401	 INSUP LEE	32	1.83	2.5	2.07
620	CIS-441-401	 INSUP LEE	38	1.84	2.21	2.14
621	CIS-441-401	 INSUP LEE	39	1.64	2.12	1.89
622	CIS-441-401	 INSUP LEE	51	2	2.05	2.19
623	CIS-441-401	 INSUP LEE	47	1.14	2.34	0.94
624	CIS-554-001	 DAVID LEE MATUSZEK	25	2.85	2.38	2.71
625	CIS-554-001	 DAVID LEE MATUSZEK	32	2.41	2.43	2.5
626	CIS-554-001	 DAVID LEE MATUSZEK	32	2.71	2.53	2.58
627	CIS-554-001	 DAVID LEE MATUSZEK	25	2.56	2.61	2.35
628	CIS-554-001	 DAVID LEE MATUSZEK	35	2.29	2.32	2.14
629	CIS-568-001	 BENJAMIN SUNSHINE-HILL	9	3.86	2.8	3.43
630	CIS-568-001	 STEPHEN LANE	11	2.88	2.43	2.88
631	CIS-568-001	 MUBBASIR TURAB KAPADIA	11	2.88	2.43	3.25
632	CIS-568-920	 STEPHEN LANE	10	3.25	2.75	2.75
633	CIS-568-001	 STEPHEN LANE	7	2.71	2.75	3.43
634	CIS-568-001	 STEPHEN LANE	18	2.94	2.36	3.31
635	CIS-568-001	 STEPHEN LANE	19	3.25	2.45	3.42
636	CIS-568-001	 STEPHEN LANE	26	2.63	1.93	2.95
637	CIS-195-001	 JAMES SHIN YOUNG	21	2	2.2	2.46
638	CIS-195-001	 BOON THAU LOO	12	2.9	2.29	2.6
639	CIS-195-001	 BOON THAU LOO	19	2.67	2.67	2.67
640	CIS-195-001	 BOON THAU LOO	30	2.73	1.75	2.62
641	CIS-195-001	 SWAPNEEL SHETH	30	2.19	2.38	2.44
642	CIS-195-001	 SWAPNEEL SHETH	18	2.13	2.29	2.33
643	CIS-515-910	 JEAN HENRI GALLIER	10	3	3.4	3.2
644	CIS-515-001	 JEAN HENRI GALLIER	14	3.09	3	3.64
645	CIS-515-001	 JEAN HENRI GALLIER	23	3.5	3.27	3.63
646	CIS-515-001	 JEAN HENRI GALLIER	21	2.87	3.07	3.07
647	CIS-368-001	 JEFFREY NIMEROFF	16	1.83	1.1	2
648	CIS-534-001	 MILO M. K. MARTIN	21	3.56	2.44	3.63
649	CIS-541-001	 INSUP LEE	6	3	2.33	3.25
650	CIS-101-001	 JEAN GRIFFIN	15	3.38	1.67	2.92
651	CIS-196-001	 MATHEW THOMAS SCHAFFER	24	2.67	1.69	3.33
652	CIS-196-001	 MATHEW THOMAS SCHAFFER	36	2.97	1.76	3.38
653	CIS-196-001	 MATHEW THOMAS SCHAFFER	34	2.72	1.6	3.24
654	CIS-196-001	 BOON THAU LOO	22	2.35	1.6	2.35
655	CIS-196-001	 SWAPNEEL SHETH	22	2.5	1.25	2.47
656	MATH-571-401	 MICHAEL LIEBERMAN	3	3.33	3	3.33
657	MATH-571-401	 HENRY TOWSNER	9	3.13	2.57	3.63
658	CIS-197-001	 SWAPNEEL SHETH	17	1.31	1.7	1.83
659	CIS-197-001	 SWAPNEEL SHETH	13	2.63	2.4	2.29
660	CIS-331-001	 NADIA HENINGER	51	3	2.58	3.24
661	CIS-526-001	 CHRIS CALLISON-BURCH	25	3.26	2.86	3.48
662	CIS-419-401	 ERIC EATON	109	2.25	3.64	2.51
663	CIS-450-401	 VAL BREAZU TANNEN	104	2.05	2.29	2.14
664	CIS-460-401	 NORMAN I BADLER	52	3.05	3.26	3.03
665	CIS-559-001	 SWAPNEEL SHETH	16	3.17	1.64	3.36
